nodename,idname,imagename,filename,filenamemedium,filenamethumb,lakecode,lakename,magnification,notes,section,sitehole,submittedby,year,taxon,commonname,family,imageuitags,description,distinguishingfeatures,nodeuitags,lighttypename
"Inclusion","Mineral","TAJ-KAR08-2A-1P-1_24cm_xpl_40x_inclusions.jpg","TAJ-KAR08-2A-1P-1_24cm_xpl_40x_inclusions.jpg","TAJ-KAR08-2A-1P-1_24cm_xpl_40x_inclusions-600.jpg","TAJ-KAR08-2A-1P-1_24cm_xpl_40x_inclusions-200s.jpg","KAR","Ozera Karakul","40.0",\N,"1","2A","Val Stanley","2008",\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Pollen","Plant","taraxcum_officinale_texture_jm_edit","taraxcum_officinale_texture_jm_edit.jpg","taraxcum_officinale_texture_jm_edit-600.jpg","taraxcum_officinale_texture_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"body",\N,\N,"Jimmy Marty",\N,"Taraxacum officinale F.H. Wigg.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","taraxcum_officinale_wall_jm_edit","taraxcum_officinale_wall_jm_edit.jpg","taraxcum_officinale_wall_jm_edit-600.jpg","taraxcum_officinale_wall_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"belly",\N,\N,"Jimmy Marty",\N,"Taraxacum officinale F.H. Wigg.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Quartz","Mineral","TAS-ARTH11-1B-1P-1_6CM_PPL_40X_QZ_INCLUSIONS.jpg","TAS-ARTH11-1B-1P-1_6CM_PPL_40X_QZ_INCLUSIONS.jpg","TAS-ARTH11-1B-1P-1_6CM_PPL_40X_QZ_INCLUSIONS-600.jpg","TAS-ARTH11-1B-1P-1_6CM_PPL_40X_QZ_INCLUSIONS-200s.jpg","ARTH","Arthurs Lake","40.0","Note inclusions in quartz, likely rutilated","1","1B","Val Stanley","2011",\N,\N,\N,"rutilated","Transparent colorless; equant grains; cleavage absent. Grains larger than ~30um show higher order birefringence colors (dark orange, pink), while smaller grains appear white or gray in cross-polarized light. May appear pitted, or show opaque or reddish coatings visible in plane polarized or reflected light.   May be well-rounded where aeolian or fluvial transport contributes. Common mineral in detrital sediments and rock fragments.","Low-birefringence Equant","silicate Transparent Colorless Low-relief","Plane-Polarized Light"
"Tourmaline","Mineral","TAS-ARTH11-1B-1P-1_80CM_PP_63X_BLK_TRML.jpg","TAS-ARTH11-1B-1P-1_80CM_PP_63X_BLK_TRML.jpg","TAS-ARTH11-1B-1P-1_80CM_PP_63X_BLK_TRML-600.jpg","TAS-ARTH11-1B-1P-1_80CM_PP_63X_BLK_TRML-200s.jpg","ARTH","Arthurs Lake","63.0",\N,"1","1B","Val Stanley","2011",\N,\N,\N,"black euhedral","Transparent, variety of colors or colorless. Pleochroic (variable with composition). Moderate birefringence giving vivid colors. Elongate prismatic crystals to rounded grains. Moderate to high relief. Straight extinction. Often has inclusions.","Prismatic Pleochroic Heavy-mineral","silicate moderate-birefringence elongate high-relief","Plane-Polarized Light"
"Tourmaline","Mineral","TAS-ARTH11-1B-1P-1_94cm_tourmaline1_pp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline1_pp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline1_pp-600.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline1_pp-200s.jpg","ARTH","Arthurs Lake",\N,\N,"1","1B",\N,"2011",\N,\N,\N,"pleochroic","Transparent, variety of colors or colorless. Pleochroic (variable with composition). Moderate birefringence giving vivid colors. Elongate prismatic crystals to rounded grains. Moderate to high relief. Straight extinction. Often has inclusions.","Prismatic Pleochroic Heavy-mineral","silicate moderate-birefringence elongate high-relief","Plane-Polarized Light"
"Tourmaline","Mineral","TAS-ARTH11-1B-1P-1_94cm_tourmaline2_pp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline2_pp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline2_pp-600.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline2_pp-200s.jpg","ARTH","Arthurs Lake",\N,\N,"1","1B",\N,"2011",\N,\N,\N,"pleochroic","Transparent, variety of colors or colorless. Pleochroic (variable with composition). Moderate birefringence giving vivid colors. Elongate prismatic crystals to rounded grains. Moderate to high relief. Straight extinction. Often has inclusions.","Prismatic Pleochroic Heavy-mineral","silicate moderate-birefringence elongate high-relief","Plane-Polarized Light"
"Tourmaline","Mineral","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_cp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_cp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_cp-600.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_cp-200s.jpg","ARTH","Arthurs Lake",\N,\N,"1","1B",\N,"2011",\N,\N,\N,\N,"Transparent, variety of colors or colorless. Pleochroic (variable with composition). Moderate birefringence giving vivid colors. Elongate prismatic crystals to rounded grains. Moderate to high relief. Straight extinction. Often has inclusions.","Prismatic Pleochroic Heavy-mineral","silicate moderate-birefringence elongate high-relief","Cross-Polarized Light"
"Tourmaline","Mineral","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_pp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_pp.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_pp-600.jpg","TAS-ARTH11-1B-1P-1_94cm_tourmaline3_pp-200s.jpg","ARTH","Arthurs Lake",\N,\N,"1","1B",\N,"2011",\N,\N,\N,"pleochroic","Transparent, variety of colors or colorless. Pleochroic (variable with composition). Moderate birefringence giving vivid colors. Elongate prismatic crystals to rounded grains. Moderate to high relief. Straight extinction. Often has inclusions.","Prismatic Pleochroic Heavy-mineral","silicate moderate-birefringence elongate high-relief","Plane-Polarized Light"
"Hematite","Mineral","TAS-MACK11-1A-2B-1_5.5cm_hematite_cp.jpg","TAS-MACK11-1A-2B-1_5.5cm_hematite_cp.jpg","TAS-MACK11-1A-2B-1_5.5cm_hematite_cp-600.jpg","TAS-MACK11-1A-2B-1_5.5cm_hematite_cp-200s.jpg","MACK","Lake Mackenzie",\N,\N,"1","1A",\N,"2011",\N,\N,\N,\N,"Red to brown, transparent to opaque. Red-brown in reflected light.  High birefringence, but may not be observable due to deep color of grains.  Some grains may be noncrystalline and thus isotropic.  Irregularly shaped flakes and earthy or somewhat fibrous particles.  High relief.  Occurs as detrital or authigenic/diagenetic grains.",\N,"red brown transparent translucent opaque isotropic oxide","Cross-Polarized Light"
"Hematite","Mineral","TAS-MACK11-1A-2B-1_5.5cm_hematite_pp.jpg","TAS-MACK11-1A-2B-1_5.5cm_hematite_pp.jpg","TAS-MACK11-1A-2B-1_5.5cm_hematite_pp-600.jpg","TAS-MACK11-1A-2B-1_5.5cm_hematite_pp-200s.jpg","MACK","Lake Mackenzie",\N,\N,"1","1A",\N,"2011",\N,\N,\N,\N,"Red to brown, transparent to opaque. Red-brown in reflected light.  High birefringence, but may not be observable due to deep color of grains.  Some grains may be noncrystalline and thus isotropic.  Irregularly shaped flakes and earthy or somewhat fibrous particles.  High relief.  Occurs as detrital or authigenic/diagenetic grains.",\N,"red brown transparent translucent opaque isotropic oxide","Plane-Polarized Light"
"Zircon","Mineral","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr2.jpg","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr2.jpg","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr2-600.jpg","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr2-200s.jpg","WDS","Woods Lake","40.0","characteristic shape","1","1A","Val Stanley","2011",\N,\N,\N,"elongate high-relief","Transparent colorless to pale pink. Nonpleochroic. High order birefringence. Elongate euhedra, often with inclusions aligned along the long axis of the grain. Very high relief.  Straight extinction.","Heavy-mineral High-relief ","silicate inclusions nonpleochroic high-birefringence transparent","Plane-Polarized Light"
"Zircon","Mineral","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr3.jpg","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr3.jpg","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr3-600.jpg","TAS-WDS11-1A-2B-1_84.2cm_ppl_40x_Zr3-200s.jpg","WDS","Woods Lake","40.0","characteristic shape","1","1A","Val Stanley","2011",\N,\N,\N,"elongate high-relief","Transparent colorless to pale pink. Nonpleochroic. High order birefringence. Elongate euhedra, often with inclusions aligned along the long axis of the grain. Very high relief.  Straight extinction.","Heavy-mineral High-relief ","silicate inclusions nonpleochroic high-birefringence transparent","Plane-Polarized Light"
"Zircon","Mineral","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr-600.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr-200s.jpg","WDS","Woods Lake","40.0","characteristic shape","1","1A","Val Stanley","2011",\N,\N,\N,"elongate high-relief","Transparent colorless to pale pink. Nonpleochroic. High order birefringence. Elongate euhedra, often with inclusions aligned along the long axis of the grain. Very high relief.  Straight extinction.","Heavy-mineral High-relief ","silicate inclusions nonpleochroic high-birefringence transparent","Cross-Polarized Light"
"Zircon","Mineral","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr2.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr2.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr2-600.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr2-200s.jpg","WDS","Woods Lake","40.0","characteristic shape","1","1A","Val Stanley","2011",\N,\N,\N,"elongate high-relief","Transparent colorless to pale pink. Nonpleochroic. High order birefringence. Elongate euhedra, often with inclusions aligned along the long axis of the grain. Very high relief.  Straight extinction.","Heavy-mineral High-relief ","silicate inclusions nonpleochroic high-birefringence transparent","Cross-Polarized Light"
"Zircon","Mineral","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr3.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr3.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr3-600.jpg","TAS-WDS11-1A-2B-1_84.2cm_xpl_40x_Zr3-200s.jpg","WDS","Woods Lake","40.0","characteristic shape","1","1A","Val Stanley","2011",\N,\N,\N,"elongate high-relief","Transparent colorless to pale pink. Nonpleochroic. High order birefringence. Elongate euhedra, often with inclusions aligned along the long axis of the grain. Very high relief.  Straight extinction.","Heavy-mineral High-relief ","silicate inclusions nonpleochroic high-birefringence transparent","Cross-Polarized Light"
"Zircon","Mineral","TAS-WDS11-1A-2B-1_89.4cm_ppl_40x_hex_frag.jpg","TAS-WDS11-1A-2B-1_89.4cm_ppl_40x_hex_frag.jpg","TAS-WDS11-1A-2B-1_89.4cm_ppl_40x_hex_frag-600.jpg","TAS-WDS11-1A-2B-1_89.4cm_ppl_40x_hex_frag-200s.jpg","WDS","Woods Lake","40.0","characteristic shape","1","1A","Val Stanley","2011",\N,\N,\N,"hexagonal","Transparent colorless to pale pink. Nonpleochroic. High order birefringence. Elongate euhedra, often with inclusions aligned along the long axis of the grain. Very high relief.  Straight extinction.","Heavy-mineral High-relief ","silicate inclusions nonpleochroic high-birefringence transparent","Plane-Polarized Light"
